PLUG.ID,IMG,Treatment,Polyp,Treatment,Time,Red.Standard,Blue.Standard ,Green.Standard,Red.Coral,Blue.Coral,Green.Coral
2858,6,Dark,2,0,t1,198.064,151.109,92.223,132.594,64.099,109.614
2858,6,Dark,3,0,t1,198.064,151.109,92.223,119.238,62.68,100.854
2735,6,Dark,1,0,t1,198.064,151.109,92.223,178.362,98.274,150.007
2735,6,Dark,2,0,t1,198.064,151.109,92.223,176.799,92.075,148.276
2735,6,Dark,3,0,t1,198.064,151.109,92.223,151.128,67.023,123.326
2564,6,Dark,1,0,t1,198.064,151.109,92.223,94.424,52.277,78.971
2564,6,Dark,2,0,t1,198.064,151.109,92.223,87.904,49.801,72.146
2564,6,Dark,3,0,t1,198.064,151.109,92.223,78.867,54.435,69.158
2517,6,Dark,1,0,t1,198.064,151.109,92.223,63.333,29.605,50.79
2517,6,Dark,2,0,t1,198.064,151.109,92.223,58.863,28.334,46.762
2517,6,Dark,3,0,t1,198.064,151.109,92.223,62.401,29.017,50.018
2014,6,Dark,1,0,t1,198.064,151.109,92.223,100.927,47.675,88.372
2014,6,Dark,2,0,t1,198.064,151.109,92.223,100.184,44.059,86.425
2014,6,Dark,3,0,t1,198.064,151.109,92.223,116.432,52.752,94.761
1562,6,Dark,1,0,t1,198.064,151.109,92.223,162.912,99.238,149.647
1562,6,Dark,2,0,t1,198.064,151.109,92.223,158.685,93.581,138.546
1562,6,Dark,3,0,t1,198.064,151.109,92.223,124.46,47.21,103.404
1082,1,Dark,1,0,t2,238.354,181.503,93.812,137.096,109.713,114.893
1082,1,Dark,2,0,t2,238.354,181.503,93.812,147.639,94.129,109.109
1082,1,Dark,3,0,t2,238.354,181.503,93.812,144.07,118.06,122.015
1765,1,Dark,1,0,t2,238.354,181.503,93.812,180.88,130.277,151.391
1765,1,Dark,2,0,t2,238.354,181.503,93.812,162.685,114.496,132.513
1765,1,Dark,3,0,t2,238.354,181.503,93.812,174.671,123.973,144.976
2067,1,Dark,1,0,t2,238.354,181.503,93.812,190.002,134.406,167.233
2067,1,Dark,2,0,t2,238.354,181.503,93.812,185.724,135.729,168.826
2067,1,Dark,3,0,t2,238.354,181.503,93.812,190.16,134.271,167.289
1709,1,Dark,1,0,t2,238.354,181.503,93.812,194.649,124.306,167.681
1709,1,Dark,2,0,t2,238.354,181.503,93.812,142.934,88.425,118.123
1709,1,Dark,3,0,t2,238.354,181.503,93.812,201.629,124.5,177.385
2012,1,Dark,1,0,t2,238.354,181.503,93.812,62.449,35.99,46.062
2012,1,Dark,2,0,t2,238.354,181.503,93.812,79.51,34.774,51.759
2012,1,Dark,3,0,t2,238.354,181.503,93.812,83.438,49.304,63.754
1679,1,Dark,1,0,t2,238.354,181.503,93.812,170.195,111.91,140.016
1679,1,Dark,2,0,t2,238.354,181.503,93.812,186.102,133,160.268
1679,1,Dark,3,0,t2,238.354,181.503,93.812,180.436,132.827,158.324
1411,1,Dark,1,0,t2,238.354,181.503,93.812,107.084,61.085,79.28
1411,1,Dark,2,0,t2,238.354,181.503,93.812,103.335,52.232,68.9
1411,1,Dark,3,0,t2,238.354,181.503,93.812,104.637,60.501,77.887
2304,1,Dark,1,0,t2,238.354,181.503,93.812,68.233,50.518,56.12
2304,1,Dark,2,0,t2,238.354,181.503,93.812,80.166,66.697,72.432
2304,1,Dark,3,0,t2,238.354,181.503,93.812,91.843,74.48,81.851
1329,2,Light,1,1,t2,254.897,217.057,127.304,114.38,88.868,103.228
1329,2,Light,2,1,t2,254.897,217.057,127.304,154.885,102.213,124.817
1329,2,Light,3,1,t2,254.897,217.057,127.304,157.067,111.333,128.774
1811,2,Light,1,1,t2,254.897,217.057,127.304,181.023,105.145,145.408
1811,2,Light,2,1,t2,254.897,217.057,127.304,179.347,101.848,142.758
1811,2,Light,3,1,t2,254.897,217.057,127.304,156.178,82.905,119.158
1051,2,Light,1,1,t2,254.897,217.057,127.304,169.569,83.812,136.338
1051,2,Light,2,1,t2,254.897,217.057,127.304,168.452,88.837,135.779
1051,2,Light,3,1,t2,254.897,217.057,127.304,188.968,128.24,167.962
1695,2,Light,1,1,t2,254.897,217.057,127.304,53.965,29.709,43.502
1695,2,Light,2,1,t2,254.897,217.057,127.304,70.04,37.527,54.172
1695,2,Light,3,1,t2,254.897,217.057,127.304,57.139,28.773,44.215
1436,2,Light,1,1,t2,254.897,217.057,127.304,214.589,171.016,195.959
1436,2,Light,2,1,t2,254.897,217.057,127.304,221.73,191.917,205.589
1436,2,Light,3,1,t2,254.897,217.057,127.304,218.687,194.476,205.063
1779,2,Light,1,1,t2,254.897,217.057,127.304,171.34,98.925,142.607
1779,2,Light,2,1,t2,254.897,217.057,127.304,181.157,106.979,150.825
1779,2,Light,3,1,t2,254.897,217.057,127.304,185.228,110.569,158.782
2015,2,Light,1,1,t2,254.897,217.057,127.304,202.99,142.191,184.815
